ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
661;OPAP Arena                                                  ;32500;154;154;St. Kitts & Nevis                                 ;
662;Orange Vélodrome                                            ;67394;154;154;St. Kitts & Nevis                                 ;
663;Orogel Stadium - Dino Manuzzi                               ;23860;154;154;St. Kitts & Nevis                                 ;
664;OSK Metalist                                                ;38685;154;154;St. Kitts & Nevis                                 ;
665;Osmanli Stadi                                               ;19626;154;154;St. Kitts & Nevis                                 ;
666;Otkrytie Bank Arena                                         ;44571;154;154;St. Kitts & Nevis                                 ;
667;Pankritio Stadio                                            ;25780;154;154;St. Kitts & Nevis                                 ;
668;Panthessaliko Stadio                                        ;22700;154;154;St. Kitts & Nevis                                 ;
669;Paolo Mazza                                                 ;16134;154;154;St. Kitts & Nevis                                 ;
670;Papara Park                                                 ;40782;154;154;St. Kitts & Nevis                                 ;
671;Parc des Princes                                            ;49691;154;154;St. Kitts & Nevis                                 ;
672;Parken                                                      ;38065;154;154;St. Kitts & Nevis                                 ;
673;Parkstad Limburg Stadion                                    ;19979;154;154;St. Kitts & Nevis                                 ;
675;Petrovsky                                                   ;20985;154;154;St. Kitts & Nevis                                 ;
676;Philips Stadion                                             ;35000;154;154;St. Kitts & Nevis                                 ;
677;Pier Luigi Penzo                                            ;11150;154;154;St. Kitts & Nevis                                 ;
678;Pittodrie Stadium                                           ;22199;154;154;St. Kitts & Nevis                                 ;
680;Power Horse Stadium                                         ;18331;154;154;St. Kitts & Nevis                                 ;
681;PreZero Arena                                               ;30150;154;154;St. Kitts & Nevis                                 ;
682;PRO VENTILATION Arena                                       ;12000;154;154;St. Kitts & Nevis                                 ;
683;Ramón Sánchez-Pizjuán                                       ;43883;154;154;St. Kitts & Nevis                                 ;
684;Rat Verlegh Stadion                                         ;19000;154;154;St. Kitts & Nevis                                 ;
685;RCDE Stadium                                                ;40500;154;154;St. Kitts & Nevis                                 ;
687;Reale Arena                                                 ;39313;154;154;St. Kitts & Nevis                                 ;
688;Recep Tayyip Erdogan Stadyumu                               ;13856;154;154;St. Kitts & Nevis                                 ;
689;Red Bull Arena                                              ;47069;154;154;St. Kitts & Nevis                                 ;
690;Republican Stadium Spartak                                  ;32464;154;154;St. Kitts & Nevis                                 ;
691;RheinEnergieSTADION                                         ;50000;154;154;St. Kitts & Nevis                                 ;
692;RHG Enertürk Enerji Stadyumu                                ;32864;154;154;St. Kitts & Nevis                                 ;
693;Right to Dream Park                                         ;10300;154;154;St. Kitts & Nevis                                 ;
694;Riverside Stadium                                           ;33746;154;154;St. Kitts & Nevis                                 ;
695;Roazhon Park                                                ;29778;154;154;St. Kitts & Nevis                                 ;
696;Rostech Arena                                               ;35000;154;154;St. Kitts & Nevis                                 ;
697;Rostov Arena                                                ;45415;154;154;St. Kitts & Nevis                                 ;
698;RS Lokomotiv                                                ;19978;154;154;St. Kitts & Nevis                                 ;
699;RZD Arena                                                   ;27084;154;154;St. Kitts & Nevis                                 ;
700;Samsun Yeni  Mayis Stadyumu                                 ;33919;154;154;St. Kitts & Nevis                                 ;
701;San Mamés                                                   ;53289;154;154;St. Kitts & Nevis                                 ;
703;Santiago Bernabéu                                           ;81044;154;154;St. Kitts & Nevis                                 ;
704;SchücoArena                                                 ;26515;154;154;St. Kitts & Nevis                                 ;
705;Select Car Leasing Stadium                                  ;24161;154;154;St. Kitts & Nevis                                 ;
706;Selhurst Park                                               ;26047;154;154;St. Kitts & Nevis                                 ;
707;SIGNAL IDUNA PARK                                           ;81365;154;154;St. Kitts & Nevis                                 ;
709;Slavutych Arena                                             ;11883;154;154;St. Kitts & Nevis                                 ;
710;Solidarnost Samara Arena                                    ;42347;154;154;St. Kitts & Nevis                                 ;
