ID;Nome;Capacidade;EstadioID;total_jogos
555;Freethielstadion                                            ;13290;;
556;Gaziantep Stadyumu                                          ;33502;;
557;Gazovik                                                     ;10046;;
558;Gazprom Arena                                               ;63026;;
559;GelreDome                                                   ;21248;;
560;Gewiss Stadium                                              ;21747;;
561;Ghelamco Arena                                              ;19999;;
562;Giovanni Zini                                               ;16003;;
563;"Gipedo ""Kleanthis Vikelidis""                                ";22800;;
564;"Gipedo Kesarianis ""Michalis Kritikopoulos""                  ";0;;
565;Gipedo Panetolikou                                          ;7321;;
566;Gipedo Theodoros Kolokotronis                               ;7423;;
567;Gipedo Theodoros Vardinogiannis                             ;9088;;
568;Girnyk                                                      ;2500;;
569;Giuseppe Meazza                                             ;75923;;
570;Global Energy Stadium                                       ;6541;;
571;Goffertstadion                                              ;12500;;
572;Goodison Park                                               ;39571;;
573;Groupama Stadium                                            ;59186;;
574;Gtech Community Stadium                                     ;17250;;
575;Guldensporenstadion                                         ;9399;;
576;Gürsel Aksel Stadyumu                                       ;19713;;
577;Harboe Arena                                                ;10000;;
578;Heinz-von-Heiden-Arena                                      ;49000;;
579;Helsingør Ny Stadion                                        ;4000;;
580;Herman Vanderpoortenstadion                                 ;14538;;
581;Het Kuipje                                                  ;8035;;
582;Home Deluxe Arena                                           ;15000;;
583;Ibrox Stadium                                               ;50987;;
584;Ipurua                                                      ;8164;;
585;Jan-Breydel-Stadion                                         ;29062;;
586;Johan Cruijff ArenA                                         ;55600;;
587;John Smith's Stadium                                        ;24500;;
588;JYSK Park                                                   ;10000;;
589;Kaftanzoglio Stadio                                         ;27770;;
590;Kalyon Stadyumu                                             ;33502;;
591;Kayseri Atatürk Spor Kompleksi Yan Açik Saha                ;2000;;
592;Kehrweg-Stadion                                             ;8331;;
593;Kenilworth Road                                             ;10226;;
594;Kilmac Stadium at Dens Park                                 ;11850;;
595;King Power at Den Dreef Stadion                             ;10020;;
596;King Power Stadium                                          ;32273;;
597;Kirbiyik Holding Stadyumu                                   ;10128;;
598;Kolos                                                       ;5050;;
599;Koning Willem II Stadion                                    ;14700;;
600;Kras Stadion                                                ;7384;;
601;KSK Nika                                                    ;7000;;
602;Kuban Stadium                                               ;31654;;
603;La Cerámica                                                 ;23500;;
604;La Romareda                                                 ;33608;;
605;La Rosaleda                                                 ;30044;;
606;Le Canonnier                                                ;10830;;
607;Lenin Stadion                                               ;15200;;
608;Livyi Bereg Arena                                           ;4700;;
609;Loftus Road Stadium                                         ;18360;;
610;London Stadium                                              ;62500;;
611;Lotto Park                                                  ;21500;;
612;Luigi Ferraris                                              ;36348;;
613;Luzhniki Stadium                                            ;81000;;
614;Lyngby Stadion                                              ;10000;;
615;MAC³PARK stadion                                            ;14000;;
616;Mallorca Son Moix                                           ;20500;;
617;Mandemakers Stadion                                         ;7508;;
618;Manuel Martínez Valero                                      ;31388;;
619;Mapei Stadium - Città del Tricolore                         ;21584;;
620;Marcantonio Bentegodi                                       ;39211;;
621;Mario Rigamonti                                             ;19550;;
622;Matchoholic Stadion                                         ;4235;;
623;Matmut Atlantique                                           ;42115;;
624;Maurice Dufrasne Stadion                                    ;27670;;
625;Max-Morlock-Stadion                                         ;50000;;
626;McDiarmid Park                                              ;10696;;
627;MCH Arena                                                   ;11535;;
628;Medas Konya Büyüksehir Stadyumu                             ;42000;;
629;Mendizorroza                                                ;19840;;
630;Merck-Stadion am Böllenfalltor                              ;17500;;
631;MERKUR SPIEL-ARENA                                          ;54600;;
632;Mersin Stadyumu                                             ;25000;;
633;Mestalla                                                    ;49430;;
634;Metalurg                                                    ;5090;;
635;Meteor                                                      ;24381;;
636;Mewa Arena                                                  ;33305;;
637;MHPArena Stuttgart                                          ;60449;;
638;Minaj-Arena                                                 ;1312;;
639;MKM Stadium                                                 ;25586;;
640;Molineux Stadium                                            ;32050;;
641;Montilivi                                                   ;13286;;
642;Mordovia Arena                                              ;44442;;
643;Nature Energy Park                                          ;15790;;
644;Neftyanik                                                   ;15132;;
645;Nizhny Novgorod Stadium                                     ;44242;;
646;Nord Energi Arena                                           ;10000;;
647;Nordstern Arena Horsens                                     ;10400;;
648;NSK Olimpisky                                               ;70050;;
649;NTK im. B. M. Bannikova                                     ;1678;;
650;Nuevo Arcángel                                              ;21822;;
651;Nuevo José Zorrilla                                         ;27618;;
652;Nuevo Los Cármenes                                          ;19336;;
653;Nuevo Mirandilla                                            ;21094;;
654;Obolon                                                      ;5100;;
655;Obolon-Arena                                                ;5103;;
656;Old Trafford                                                ;74879;;
657;Olímpic Lluís Companys                                      ;55926;;
658;Olimpico di Roma                                            ;73261;;
659;Olympiastadion Berlin                                       ;74667;;
660;Olympisch Stadion                                           ;12771;;
661;OPAP Arena                                                  ;32500;;
662;Orange Vélodrome                                            ;67394;;
663;Orogel Stadium - Dino Manuzzi                               ;23860;;
664;OSK Metalist                                                ;38685;;
665;Osmanli Stadi                                               ;19626;;
666;Otkrytie Bank Arena                                         ;44571;;
667;Pankritio Stadio                                            ;25780;;
668;Panthessaliko Stadio                                        ;22700;;
669;Paolo Mazza                                                 ;16134;;
670;Papara Park                                                 ;40782;;
671;Parc des Princes                                            ;49691;;
672;Parken                                                      ;38065;;
673;Parkstad Limburg Stadion                                    ;19979;;
674;Pendik Stadi                                                ;2500;;
675;Petrovsky                                                   ;20985;;
676;Philips Stadion                                             ;35000;;
677;Pier Luigi Penzo                                            ;11150;;
678;Pittodrie Stadium                                           ;22199;;
679;Portimonense Estádio                                        ;6000;;
680;Power Horse Stadium                                         ;18331;;
681;PreZero Arena                                               ;30150;;
682;PRO VENTILATION Arena                                       ;12000;;
683;Ramón Sánchez-Pizjuán                                       ;43883;;
684;Rat Verlegh Stadion                                         ;19000;;
685;RCDE Stadium                                                ;40500;;
686;RDYuSSh MinObrNauki RD Politekh Makhachkala                 ;1600;;
687;Reale Arena                                                 ;39313;;
688;Recep Tayyip Erdogan Stadyumu                               ;13856;;
689;Red Bull Arena                                              ;47069;;
690;Republican Stadium Spartak                                  ;32464;;
691;RheinEnergieSTADION                                         ;50000;;
692;RHG Enertürk Enerji Stadyumu                                ;32864;;
693;Right to Dream Park                                         ;10300;;
694;Riverside Stadium                                           ;33746;;
695;Roazhon Park                                                ;29778;;
696;Rostech Arena                                               ;35000;;
697;Rostov Arena                                                ;45415;;
698;RS Lokomotiv                                                ;19978;;
699;RZD Arena                                                   ;27084;;
700;Samsun Yeni 19 Mayis Stadyumu                               ;33919;;
701;San Mamés                                                   ;53289;;
702;Sandro Cabassi                                              ;5510;;
703;Santiago Bernabéu                                           ;81044;;
704;SchücoArena                                                 ;26515;;
705;Select Car Leasing Stadium                                  ;24161;;
706;Selhurst Park                                               ;26047;;
707;SIGNAL IDUNA PARK                                           ;81365;;
708;SK Sevastopol                                               ;5826;;
709;Slavutych Arena                                             ;11883;;
710;Solidarnost Samara Arena                                    ;42347;;
711;Sparta-stadion - Het Kasteel                                ;11026;;
712;Spor Toto Akhisar Stadyumu                                  ;12139;;
713;Sportpark Ronhof | Thomas Sommer                            ;16626;;
714;St James' Park                                              ;52338;;
715;St Mary's Stadium                                           ;32384;;
716;Stade Ange-Casanova                                         ;4050;;
717;Stade Armand-Cesari                                         ;16480;;
718;Stade Auguste-Bonal                                         ;20005;;
719;Stade Auguste-Delaune                                       ;21684;;
720;Stade Bollaert-Delelis                                      ;38223;;
721;Stade Camille Fournier                                      ;2500;;
722;Stade Charles Tondreau                                      ;12662;;
723;Stade Crédit Agricole la Licorne                            ;12999;;
724;Stade de la Beaujoire                                       ;37463;;
725;Stade de la Meinau                                          ;26109;;
726;Stade de la Mosson                                          ;32939;;
727;Stade de l'Abbé-Deschamps                                   ;18541;;
728;Stade de l'Aube                                             ;21877;;
729;Stade des Antonins                                          ;8033;;
730;Stade du Hainaut                                            ;25000;;
731;Stade du Moustoir                                           ;19010;;
732;Stade du Paray                                              ;6744;;
733;Stade du Pays de Charleroi                                  ;15000;;
734;Stade du Roudourou                                          ;18120;;
735;Stade Francis-Le Blé                                        ;15220;;
736;Stade François-Coty                                         ;10446;;
737;Stade Gabriel-Montpied                                      ;13000;;
738;Stade Gaston-Gérard                                         ;16098;;
739;Stade Geoffroy-Guichard                                     ;42000;;
740;Stade Joseph Mariën                                         ;8000;;
741;Stade Louis-II                                              ;17000;;
742;Stade Marcel-Picot                                          ;20087;;
743;Stade Michel-d'Ornano                                       ;20500;;
744;Stade Océane                                                ;25178;;
745;Stade Raymond Kopa                                          ;19350;;
746;Stade Saint-Symphorien                                      ;28786;;
747;Stadio Alkazar                                              ;13108;;
748;Stadio Diego Armando Maradona                               ;54726;;
749;Stadio Georgios Karaiskakis                                 ;32115;;
750;Stadio Komotinis OPAP                                       ;5601;;
751;"Stadio Lamia ""Athanasios Diakos""                            ";5500;;
752;Stadio Livadias                                             ;5915;;
753;Stadio Mytilinis                                            ;4000;;
754;Stadio Neas Smyrnis                                         ;11700;;
755;Stadio Olimpico Grande Torino                               ;28177;;
756;Stadio Peristeriou                                          ;9050;;
757;Stadio Renato Dall’Ara                                      ;36462;;
758;Stadio Zosimades                                            ;7652;;
759;"Stadion ""De Vijverberg""                                     ";12600;;
760;"Stadion ""Galgenwaard""                                       ";23750;;
761;Stadion An der Alten Försterei                              ;22012;;
762;Stadion Avangard                                            ;12080;;
763;Stadion Avangard (2022)                                     ;7122;;
764;Stadion Chornomorets (2011)                                 ;34164;;
765;"Stadion Feyenoord ""De Kuip""                                 ";47500;;
766;Stadion im Borussia-Park                                    ;54042;;
767;Stadion im. Volodymyra Boyko                                ;12680;;
768;Stadion im. Yuriya Gagarina                                 ;12060;;
769;Stadion Ingulets                                            ;1720;;
770;Stadion Krasnodar                                           ;35179;;
771;Stadion SKIF                                                ;3742;;
772;Stadion Ukraina                                             ;28051;;
773;Stadium Municipal                                           ;33150;;
774;Stadium of Light                                            ;48707;;
775;Stamford Bridge                                             ;40853;;
776;Swansea.com Stadium                                         ;21088;;
777;Sydbank Park                                                ;10000;;
778;Tannadice Park                                              ;14223;;
779;The City Ground                                             ;30445;;
780;The Energy Check Stadium at Firhill                         ;10102;;
781;The Hawthorns                                               ;26850;;
782;The SMISA Stadium                                           ;8023;;
783;Tony Macaroni Arena                                         ;9512;;
784;Tottenham Hotspur Stadium                                   ;62062;;
785;Toumba Stadium                                              ;28703;;
786;Trud                                                        ;10028;;
787;Tsentralnyi Polissya                                        ;5928;;
788;Tulloch Caledonian Stadium                                  ;7750;;
789;Tüpras Stadyumu                                             ;42590;;
790;Turf Moor                                                   ;21994;;
791;Tynecastle Park                                             ;19852;;
