ID;Nome;Capacidade;EstadioID;total_jogos
1011;DIMOTIKO STADIO AGION ANARGYRON                             ;0;;
1012;BEROE                                                       ;8256;;
1013;ZEMGALES OLIMPISKAIS CENTRS                                 ;650;;
1014;PÄRNU RANNASTAADION                                         ;1500;;
1015;GIPEDO MAKEDONIKOU                                          ;0;;
1016;ANDREY-ARENA                                                ;700;;
1017;ANZHI-ARENA                                                 ;9800;;
1018;SHAKHTER                                                    ;450;;
1019;MUNICIPAL DE AZUAGA                                         ;1000;;
1020;HOME PARK                                                   ;6585;;
1021;KHIMIK                                                      ;8300;;
1022;VICENTE CALDERÓN                                            ;7000;;
1023;STADION IM. BORYSA TROPANTSA                                ;600;;
1024;GRADSKI                                                     ;5500;;
1025;ESTADIO MUNICIPAL ALFONSO MURUBE                            ;1700;;
1026;ZENTRALSTADION SOCHI SLAVA METREVELI                        ;3500;;
1027;ZUIDERSPORTPARK                                             ;7000;;
1028;LAUGARDALSVÖLLUR                                            ;9829;;
1029;SPORTPARK SCHELLINGWOUDE                                    ;500;;
1030;TOURBILLON                                                  ;9000;;
1031;SPORTPARK WESSELOPARK                                       ;650;;
1032;ADYGEA REPUBLICAN STADIUM                                   ;500;;
1033;DIMOTIKO GIPEDO PARALIMNIOU                                 ;0;;
1034;DIMOTIKO GIPEDO SOCHOU                                      ;0;;
1035;STADIO LAMIA                                                ;187;;
1036;STADIUMI I ÇAIRIT                                           ;0;;
1037;WEMBLEY STADIUM                                             ;89472;;
1038;BALTIKA                                                     ;7300;;
1039;NEW COUNTESS PARK                                           ;749;;
1040;SPORTFORUM HOHENSCHÖNHAUSEN                                 ;2631;;
1041;OLYMPIA                                                     ;8338;;
1042;"GIPEDO ""PANTELIS MAGOULAS""                                  ";0;;
1043;HILLSBOROUGH                                                ;9045;;
1044;ŠTADIÓN POD CEBRATOM                                        ;4752;;
1045;YUNOST                                                      ;3200;;
1046;PAMPELOPONNISIAKO STADIO                                    ;0;;
1047;MUNICIPAL DE VAREA                                          ;90;;
1048;"DIMOTIKO STADIO ALEXANDROUPOLIS ""FOTIS KOSMAS""              ";0;;
1049;PINA MANIQUE                                                ;436;;
1050;PARC DES SPORTS D’ANNECY                                    ;9986;;
1051;DIMOTIKO GIPEDO CHIOU                                       ;0;;
1052;BESOCCER LA CONDOMINA                                       ;2600;;
1053;THE DEN                                                     ;9772;;
1054;BARRAÑA                                                     ;2000;;
1055;PANCHO ARÉNA                                                ;3537;;
1056;NUEVO CAMPO DE LA PUEBLA                                    ;400;;
1057;FRANCISCO DE LA HERA                                        ;8000;;
1058;FUSSBALLHALLE URAL                                          ;2980;;
1059;ZTE-ARÉNA                                                   ;5347;;
1060;WESERSTADION                                                ;10093;;
1061;TONY BEZZINA STADIUM                                        ;722;;
1062;DUNRAVEN BREWERY FIELD                                      ;1410;;
1063;CANTILEVER PARK                                             ;2400;;
1064;SENDERO                                                     ;5000;;
1065;PRIVETT PARK                                                ;2013;;
1066;JAN LOUWERS STADION                                         ;2615;;
1067;SPARTAK                                                     ;985;;
1068;HERMANN-NEUBERGER-STADION                                   ;6936;;
1069;DIMOTIKO STADIO IGOUMENITSAS                                ;0;;
1070;STADION MIEJSKI W CHORZOWIE                                 ;7900;;
1071;SKIBET STADION                                              ;0;;
1072;ANTONIO SOLANA                                              ;1500;;
1073;OLÁH GÁBOR STADION                                          ;6300;;
1074;LINZER GUGL (- 2021)                                        ;1254;;
1075;LA VICTORIA                                                 ;8000;;
1076;NORTHERN COMMERCIALS STADIUM                                ;7821;;
1077;THE PURE STADIUM                                            ;5414;;
1078;ARENA SEPSI OSK                                             ;8270;;
1079;CAMP MUNICIPAL D'ESPORTS                                    ;300;;
1080;IKONOMIDIO STADIO IALYSOU                                   ;0;;
1081;SPORTPARK MOLENBROEK                                        ;3200;;
1082;HEINZ-DETTMER-STADION                                       ;4150;;
1083;STADION CHAIR                                               ;8430;;
1084;BAKCELL ARENA                                               ;9866;;
1085;ALBERTPARKSTADION                                           ;7466;;
1086;HAMPDEN PARK                                                ;679;;
1087;SPARTAK STADION                                             ;3800;;
1088;VANLØSE IDRÆTSPARK                                          ;3154;;
1089;STADE DE GENÈVE                                             ;5830;;
1090;CARLOS TARTIERE                                             ;9028;;
1091;EDMUND-PLAMBECK-STADION                                     ;745;;
1092;SPORTPARK BOVENMOLEN                                        ;400;;
1093;PECARA                                                      ;5500;;
1094;ESTADIO PEDRO SANCHO                                        ;2500;;
1095;DIMOTIKO GIPEDO SOUDAS                                      ;0;;
1096;STADION MLADOST                                             ;750;;
1097;STADION ZIRKA IM. STANISLAVA BEREZKINA                      ;900;;
1098;THE 3G ARENA                                                ;705;;
1099;COLES PARK                                                  ;2710;;
1100;GIPEDO ATSALENIOU                                           ;0;;
1101;FJORDAGER IF.S ANLÆG                                        ;520;;
1102;SAGNIER                                                     ;0;;
1103;ALBYN PARK                                                  ;313;;
1104;MANISA 19 MAYIS                                             ;919;;
1105;RAMAZ SHENGELIA STADIUM                                     ;9976;;
1106;STADIO OLIMPICO DI SERRAVALLE                               ;911;;
1107;THE WEAVER STADIUM                                          ;1544;;
1108;RISHØJ STADION                                              ;524;;
1109;STAYEN                                                      ;9783;;
1110;SKONTO STADION                                              ;4710;;
1111;NUEVO NALÓN                                                 ;0;;
1112;ISLECROFT STADIUM                                           ;265;;
1113;MEGGETLAND SPORTS COMPLEX                                   ;0;;
1114;METALLURG                                                   ;9500;;
1115;MALATYA INÖNÜ                                               ;0;;
1116;ZAFER STADI                                                 ;1664;;
1117;KUNST, VALBY IP, GL. AFDELING                               ;125;;
1118;ALBERTO PINTO                                               ;900;;
1119;EWR-ARENA WORMS                                             ;8000;;
1120;HSM ARENA GRENÅ                                             ;1300;;
1121;STADIO MATTEO LEGLER                                        ;0;;
1122;DREISAMSTADION                                              ;3200;;
1123;VALBY IDRÆTSPARK                                            ;944;;
1124;AVIVA STADIUM                                               ;8000;;
1125;STADIO DOMENICO FRANCIONI                                   ;2370;;
1126;DIMOTIKO GIPEDO KORDELIOU                                   ;0;;
1127;PROMAGRO                                                    ;1800;;
1128;VALE PARK                                                   ;8069;;
1129;GGZ-ARENA                                                   ;6300;;
1130;STADION ZAGLEBIA LUBIN                                      ;5817;;
1131;LUZHNIKI, PITCH ?9                                          ;103;;
1132;THE WHAM STADIUM                                            ;5397;;
1133;SPORTPARK DE BONGERD                                        ;675;;
1134;STRELNICE                                                   ;6040;;
1135;TINGA SPORTPARK                                             ;600;;
1136;PIER GIOVANNI MECCHIA                                       ;150;;
1137;KIROVETS                                                    ;524;;
1138;BREMER BRÜCKE                                               ;8066;;
1139;STADION  Z'DEŽELE                                           ;724;;
1140;URRITXE                                                     ;500;;
1141;SPAR NORD ARENA                                             ;0;;
1142;STADION MINAJ                                               ;980;;
1143;IDOMENEA GALATA                                             ;0;;
1144;ESTADIO FACUNDO RIVAS                                       ;3000;;
1145;SANTA ANA                                                   ;5000;;
1146;THOMSON PARK                                                ;270;;
1147;SPORTPARK GROOT SCHOLTENHAGEN                               ;500;;
1148;STADIUMI I QYTETIT TË SUHAREKËS                             ;12000;;
1149;MUNICIPAL SF. GHEORGHE                                      ;2005;;
1150;HOLZHOF-STADION                                             ;4725;;
1151;MUNICIPAL VILLANOVENSE                                      ;8000;;
1152;CENTRAL STADIUM ASTRAKHAN                                   ;850;;
1153;NARYN-KALA (YUNOST)                                         ;500;;
1154;SPORTCLUB ARENA                                             ;5153;;
1155;CENTRAL PARK                                                ;809;;
1156;GGL STADIUM                                                 ;9784;;
1157;AUTOCENTRALEN PARK                                          ;6100;;
1158;SCHWIMMDOCK ZSKMS                                           ;700;;
1159;STADION SENTA                                               ;0;;
1160;MUNICIPAL MIGUEL MORANTO                                    ;2100;;
1161;GREIFAVÖLLURINN                                             ;200;;
1162;SHERIFF                                                     ;9000;;
1163;SUNDBY IDRÆTSPARK                                           ;857;;
1164;"DIMOTIKO GIPEDO EGINIOU ""GIANNIS PARALIKIDIS""               ";0;;
1165;KREMIN-ARENA IM. BABAYEVA                                   ;200;;
1166;GLADSAXE STADION                                            ;965;;
1167;MAZUMA STADIUM                                              ;2806;;
1168;GEORGI ASPARUHOV                                            ;6456;;
1169;THE FALKIRK STADIUM                                         ;6375;;
1170;AMUR                                                        ;5100;;
1171;SPORTPARK DE VINKEN                                         ;350;;
1172;SAUGHTON SPORTS COMPLEX                                     ;0;;
1173;KUNSTGRÆSBANEN-VEJLBY/RISSKOV CENTRET                       ;200;;
1174;TSIRION STADION                                             ;8943;;
1175;LOCHSIDE PARK                                               ;300;;
1176;COMPLETELY-SUZUKI STADIUM                                   ;6891;;
1177;PIRELLI STADIUM                                             ;4631;;
1178;STADE DE PORT-GENTIL                                        ;34658;;
1179;GIPEDO FILIPPOUPOLIS                                        ;0;;
1180;STADION IVAN                                                ;850;;
1181;POLISPORTIVO PROVINCIALE                                    ;7182;;
1182;"DIMOTIKO STADIO LIXOURIOU ""AGIOS ANTONIOS""                  ";0;;
1183;SPORTPARK GALECOP                                           ;200;;
1184;ATHLITIKO KENTRO KANONIOU                                   ;0;;
1185;SILVERLAKE STADIUM                                          ;873;;
1186;STEBONHEATH PARK                                            ;534;;
1187;ABOVYAN CITY STADIUM                                        ;3100;;
1188;WHITE HART LANE                                             ;36763;;
1189;NEW YORK STADIUM                                            ;7903;;
1190;EL MALECÓN                                                  ;500;;
1191;SPORTPARK OLYMPIAPLEIN                                      ;0;;
1192;HUMLEBAEK STADION                                           ;489;;
1193;HESSEL ARENA                                                ;0;;
1194;HOLKER STREET                                               ;4414;;
1195;STADION RODINA                                              ;850;;
1196;KUDRIVKA-ARENA                                              ;0;;
1197;CAMP D'ESPORTS DE LLEIDA                                    ;9872;;
1198;BALMORAL STADIUM                                            ;740;;
1199;CAMPUS ROAD                                                 ;150;;
1200;CHURCH ROAD                                                 ;1501;;
1201;NEREO ROCCO                                                 ;9000;;
1202;SOLRØD IDRÆTSCENTER                                         ;0;;
1203;SPORTPARK VONDERSWEIJDE                                     ;300;;
1204;DIMOTIKO STADIO ILIOUPOLIS                                  ;0;;
1205;NEO DIMOTIKO STADIO GYTHIOU                                 ;0;;
1206;DACIA RENA - STADIO FRIULI                                  ;1330;;
1207;GIPEDO MALAMATON                                            ;0;;
1208;ALFREDO DI STÉFANO                                          ;0;;
1209;GULDFÅGELN ARENA                                            ;7421;;
1210;CITTÀ DI AREZZO                                             ;780;;
1211;ZENTRALSTADION OREL                                         ;1500;;
1212;UNDERHILL STADIUM                                           ;2410;;
1213;ESTÁDIO MUNICIPAL DO FONTELO                                ;714;;
1214;OMASP STADION                                               ;5817;;
1215;SPARBANK ARENA                                              ;906;;
1216;MASHYNOBUDIVNYK                                             ;640;;
1217;ZORKIY                                                      ;500;;
1218;DIMOTIKO GIPEDO SOCHORAS                                    ;0;;
1219;STADION OBILICA POLJANA                                     ;1600;;
1220;DONBASS ARENA                                               ;53423;;
1221;LEONARDO GARILLI                                            ;759;;
1222;ALLAN PARK                                                  ;500;;
1223;HARDENHUISH PARK                                            ;2625;;
1224;RECREATION PARK                                             ;2200;;
1225;FAZANERIJA                                                  ;4200;;
1226;SKOVVANG STADION                                            ;0;;
1227;STADE IBN BATOUTA                                           ;47137;;
1228;ASHTON GATE                                                 ;9730;;
1229;WETHERBY ROAD                                               ;3048;;
1230;AGGBOROUGH                                                  ;5327;;
1231;KONYA BÜYÜKSEHIR BELEDIYESI ATATÜRK STADI                   ;6700;;
1232;SPORTPARK SPANJAARDSLAAN                                    ;950;;
1233;SOKIL                                                       ;1300;;
1234;LAING PARK                                                  ;228;;
1235;STADION MIEJSKI IM. FLORIANA KRYGIERA                       ;9249;;
1236;MUNICIPAL LA DEHESA DE COBEÑA                               ;700;;
1237;ORIGO VÖLLURINN                                             ;825;;
1238;OLIMPIYSKI REZERVY                                          ;250;;
1239;DIMOTIKO GIPEDO LOUTRON                                     ;0;;
1240;COMPLEXE SPORTIF MOULAY ABDALLAH                            ;44439;;
1241;VELDTOFTE IDRÆTSPARK                                        ;0;;
1242;SAN JUAN BOSCO                                              ;2000;;
1243;SANT'ELIA                                                   ;9961;;
1244;ŠTADIÓN LOKOMOTÍVY V CERMELI                                ;7055;;
1245;FC RYAZAN – ??? (CSK)                                       ;6000;;
1246;SHERIFF MAIN ARENA                                          ;7933;;
1247;KEHDINGER STADION                                           ;8000;;
1248;HOLBÆK STADION                                              ;279;;
1249;SULTAN BILIMKHANOV                                          ;8900;;
1250;ST JAMES PARK                                               ;8298;;
1251;ENERGIYA                                                    ;850;;
1252;ISMAT GAYIBOV STADION                                       ;4500;;
1253;SPORTPARK OOKMEER                                           ;0;;
1254;DG ARENA                                                    ;920;;
1255;LUDWIGSPARKSTADION                                          ;7300;;
1256;REIGART STADIUM                                             ;748;;
1257;ESTADIO FRANCISCO ARTÉS CARRASCO                            ;2000;;
1258;UNIVERSIADE CENTER, NEW SHENZHEN STADIUM                    ;41237;;
1259;VOLKSSTADION GREIFSWALD                                     ;4337;;
1260;NACIONALNA ARENA FILIP II MAKEDONSKI                        ;9200;;
1261;JUAN ANTONIO ENDEIZA                                        ;0;;
1262;NACIONALNA ARENA TOSE PROESKI                               ;8045;;
1263;CHRISTIE PARK                                               ;435;;
1264;COMUNALE CITTÀ DI GORGONZOLA                                ;1156;;
1265;ESTADIO CIUDAD DE LOS DEPORTES                              ;34862;;
1266;SKAGERAK ARENA                                              ;6106;;
1267;ESTÁDIO DO ALGARVE                                          ;860;;
1268;TOFIK BAKHRAMOV STADION                                     ;29000;;
1269;GIPEDO NEAS MICHANIONAS                                     ;0;;
1270;TUYMAADA                                                    ;5000;;
1271;COVENTRY BUILDING SOCIETY ARENA                             ;9124;;
1272;ŠTADIÓN POD DUBNOM                                          ;6319;;
1273;PORTMAN ROAD                                                ;9817;;
1274;CDM VICENTE DEL BOSQUE                                      ;0;;
1275;ANTONIS PAPADOPOULOS                                        ;9000;;
1276;FORTHBANK STADIUM                                           ;912;;
1277;NUEVO SAN IGNACIO                                           ;0;;
1278;ATHLITIKO KENTRO KALYVION                                   ;0;;
1279;CAN MISSES III                                              ;900;;
1280;DIMOTIKO STADIO ITEAS                                       ;0;;
1281;ZAKHIDNYI                                                   ;700;;
1282;SAN PEDRO DE VISMA                                          ;0;;
1283;MOATSIDE                                                    ;1920;;
1284;YORK COMMUNITY STADIUM                                      ;3791;;
1285;NUEVO EL MAULÍ                                              ;0;;
1286;STADION CRACOVII IM. JÓZEFA PILSUDSKIEGO                    ;7000;;
1287;MUNICIPAL DE MIENGO                                         ;0;;
1288;ÞÓRSVÖLLUR                                                  ;934;;
1289;JULIANA SPORTPARK                                           ;400;;
1290;ARSENAL-ARENA                                               ;600;;
1291;PREUßENSTADION                                              ;6703;;
1292;ERZGEBIRGSSTADION                                           ;9575;;
1293;ETO-PARK                                                    ;8175;;
1294;STADIO COMUNALE CHIAVARI                                    ;2000;;
1295;SPORTPARK STEDOCO                                           ;300;;
1296;MILLFIELD PARK                                              ;337;;
1297;SAPUTO STADIUM                                              ;20057;;
1298;TAPADINHA                                                   ;400;;
1299;SPORTPARK SCHILDMAN                                         ;850;;
1300;SPORTPARK VOLENDAM                                          ;0;;
1301;CAN ROSÉS                                                   ;4300;;
1302;MBU SCHOOL ? 6 TUAPSE                                       ;0;;
1303;STADION MIEJSKI W TYCHACH                                   ;886;;
1304;SEAFIELD PARK                                               ;0;;
1305;HÄNSCH-ARENA                                                ;5813;;
1306;SPORTPARK 'T HEIDEFJILD                                     ;0;;
1307;WESTON HOMES STADIUM                                        ;8329;;
1308;THE JAKEMANS STADIUM                                        ;4190;;
1309;ESTADI MUNICIPAL DE REUS (CAMP NOU MUNICIPAL)               ;0;;
1310;NEU.SW-STADION                                              ;3000;;
1311;DALGA ARENA                                                 ;5832;;
1312;THE CAMROSE                                                 ;1251;;
1313;SPORTPARK PRONSENBROEK                                      ;650;;
1314;EL PALMAR                                                   ;0;;
1315;DINAMO                                                      ;970;;
1316;SPORTPARK DE BREE-OOST                                      ;0;;
1317;PAPA LUNA                                                   ;1950;;
1318;SPARTAK STADION BLAGOVESHCHENSK                             ;3300;;
1319;FARUM PARK                                                  ;0;;
1320;ZNAMYA                                                      ;81;;
1321;STADION AM LOTTER KREUZ                                     ;8763;;
1322;KEYS PARK                                                   ;2231;;
1323;ESTÁDIO MUNICIPAL DE LEIRIA - DR. MAGALHÃES PESSOA          ;683;;
1324;DONAUSTADION                                                ;6743;;
1325;GIPEDO ACHARNAIKOU                                          ;0;;
1326;GRINDSTED STADION                                           ;0;;
1327;COMPLEXO DESPORTIVO DE FREAMUNDE                            ;616;;
1328;UROZHAY STADIUM                                             ;470;;
1329;JONNY-ROCKS STADIUM                                         ;3552;;
1330;"DIMOTIKO GIPEDO ""GALLOU""                                    ";0;;
1331;STADIO GIANNITSON                                           ;0;;
1332;ELLAKURI                                                    ;300;;
1333;CYGNET HEALTH CARE STADIUM                                  ;2297;;
1334;BORNOVA AZIZ KOCAOGLU STADYUMU                              ;9642;;
1335;WESTFIELD PARK                                              ;0;;
1336;GAMLA ULLEVI                                                ;9046;;
1337;SPORTPARK DE BOEKHORST                                      ;450;;
1338;SAN MARCOS                                                  ;400;;
1339;SPORTPARK BENTINCKSPARK                                     ;0;;
1340;ROMSSA ARENA                                                ;5868;;
1341;DIMOTIKO STADIO TRIKALON                                    ;800;;
1342;OHLENDORF STADION IM HEIDEWALD                              ;5259;;
1343;MANUEL SÁNCHEZ DELGADO                                      ;1350;;
1344;DIMOTIKO STADIO GERGERIS                                    ;0;;
1345;MISKYI STADION IM. R. SHUKHEVYCHA                           ;8000;;
1346;HEDENSTED STADION                                           ;2378;;
1347;OLÍMPIC DE TERRASSA                                         ;7000;;
1348;JÄMTKRAFT ARENA                                             ;8900;;
1349;PARK HALL                                                   ;863;;
1350;SPORTPARK BROEKPOLDER                                       ;800;;
1351;BALTASAR PUJALES                                            ;0;;
1352;POD DUBNOM                                                  ;8254;;
1353;SPORTPARK TOP                                               ;125;;
1354;NAGYERDEI STADION                                           ;9457;;
1355;THE RECREATION GROUND                                       ;5374;;
1356;GATESHEAD INTERNATIONAL STADIUM                             ;732;;
1357;DIMOTIKO STADIO CHALKIDAS                                   ;0;;
1358;DIMOTIKO STADIO TYRNAVOU                                    ;400;;
1359;ESTÁDIO DO BESSA SEC. XXI                                   ;9958;;
1360;CRISTAL ARENA                                               ;7285;;
1361;GENERALI ARENA                                              ;9717;;
1362;GUDERUP IDRÆTSANLÆG                                         ;1720;;
1363;CASHPOINT-ARENA                                             ;3335;;
1364;GYUMRI CITY STADIUM                                         ;2860;;
1365;"DIMOTIKO STADIO EGALEO ""STAVROS MAVROTHALASSITIS""           ";0;;
1366;ÅRÅSEN STADION                                              ;4927;;
1367;SPORTPARK DE WOLFSKAMER                                     ;600;;
1368;ANDUVA                                                      ;5583;;
1369;STADION DER FREUNDSCHAFT                                    ;20602;;
1370;D.A.K. ARGOUS ORESTIKOU                                     ;0;;
1371;SPORTPARK ESCHEN                                            ;510;;
1372;NORTON CRICKET CLUB & MINERS WELFARE INSTITUTE              ;1762;;
1373;WOODSPRING STADIUM                                          ;2949;;
1374;LOINAZ                                                      ;1000;;
1375;MIEJSKI STADION PILKARSKI RAKÓW                             ;5500;;
1376;SPORTPARK SJC                                               ;400;;
1377;TEVFIK SIRRI GÜR STADYUM                                    ;9800;;
1378;GOBELA                                                      ;1200;;
1379;THE FREEBETS.CO.UK STADIUM                                  ;2440;;
1380;DE BOSHOEK                                                  ;900;;
1381;MSA PETROVSKY                                               ;750;;
1382;CENTRAL RASHID AUSHEV STADIUM                               ;580;;
1383;STADION BRACE VELAŠEVIC                                     ;550;;
1384;EVGRAPI SHEVARDNADZE STADIUM                                ;778;;
1385;STADION IM. ZDZISLAWA KRZYSZKOWIAKA                         ;11200;;
1386;ITALIA                                                      ;200;;
1387;SAMMY OFER STADIUM                                          ;6412;;
1388;SHANGHAI STADIUM                                            ;30000;;
1389;THE WALKS                                                   ;4203;;
1390;EXPRESS STADION                                             ;800;;
1391;"PISTAS DEL HELMÁNTICO ""JAVIER SOTOMAYOR""                    ";4000;;
1392;STADIONUL MUNICIPAL                                         ;14438;;
1393;RUSSLAND-STADION                                            ;800;;
1394;BELLE VUE                                                   ;930;;
1395;BEECHWOOD PARK                                              ;921;;
1396;INTILITY ARENA                                              ;2000;;
1397;FRIEDRICH-LUDWIG-JAHN-SPORTPARK                             ;9227;;
1398;STADION KOLOS                                               ;0;;
1399;ALFONSO VILLER GARCÍA                                       ;5400;;
1400;RUDOLF-HARBIG-STADION                                       ;30503;;
1401;ZAYED SPORTS CITY STADIUM                                   ;41094;;
1402;KINGFIELD STADIUM                                           ;5717;;
1403;ROBOTIZE PARK                                               ;0;;
1404;SUS ARENA                                                   ;500;;
1405;SZÉKTÓI STADION                                             ;4211;;
1406;KNYAZHA ARENA                                               ;200;;
1407;"DIMOTIKO STADIO KALLITHEAS ""GRIGORIS LAMPRAKIS""             ";0;;
1408;THE LAMB GROUND                                             ;2860;;
1409;DINAMO STADIUM STAVROPOL                                    ;600;;
1410;DIANALUND STADION                                           ;0;;
1411;STARUP STADION                                              ;0;;
1412;WESERSTADION PLATZ 11                                       ;4997;;
1413;SPORTPARK DE VORMT                                          ;700;;
1414;STEIGERWALDSTADION                                          ;8144;;
1415;CAMP D´ESPORTS                                              ;0;;
1416;UHLSPORT PARK                                               ;7500;;
1417;POD GORICOM                                                 ;9153;;
1418;VASIL LEVSKI                                                ;8000;;
1419;FUSSBALLHALLE FUTBOL-ARENA ENISEY                           ;3000;;
1420;REINA SOFÍA                                                 ;0;;
1421;KADRIORU STAADION                                           ;850;;
1422;RUBIN FELD 2                                                ;300;;
1423;NAKSKOV STADION                                             ;0;;
1424;JULES OTTENSTADION                                          ;9566;;
1425;KNIGHTS COMMUNITY STADIUM                                   ;5013;;
1426;ASIM FERHATOVIC - HASE                                      ;8125;;
1427;OCHILVIEW PARK                                              ;991;;
1428;CENTRE SPORTIF DE COLOVRAY                                  ;0;;
1429;MUNICIPAL BOTO?ANI                                          ;6031;;
1430;STARK'S PARK                                                ;935;;
1431;NAFTOVYK                                                    ;4930;;
1432;DIMITIKO AGIOU KONSTANTINOU                                 ;0;;
1433;NTK BANNIKOVA                                               ;970;;
1434;PROACT STADIUM                                              ;9819;;
1435;ROOTS HALL                                                  ;7923;;
1436;NUEVO MIRADOR                                               ;6500;;
1437;STADION NA STARI AERODROM                                   ;969;;
1438;SAN AGUSTÍN DE GUADALIX                                     ;0;;
1439;EDUCATION CITY STADIUM                                      ;0;;
1440;AZERSUN ARENA                                               ;0;;
1441;SKOVSHOVED IDRÆTSPARK                                       ;0;;
1442;MORSØ MULTIPARK                                             ;0;;
1443;ANTAKYA ATATÜRK STADI                                       ;0;;
1444;CROMBIE PARK                                                ;639;;
1445;CIDADE DO FUTEBOL                                           ;0;;
1446;STADIONUL ORASENESC                                         ;2000;;
1447;DONALD DEWAR CENTRE                                         ;0;;
1448;TAASTRUP IDRÆTSPARK                                         ;0;;
1449;HOLBÆK SPORTSBY                                             ;746;;
1450;ØLSTYKKE STADION                                            ;0;;
1451;SPORTPARK DE KOERBELT                                       ;4000;;
1452;HERFØLGE STADION                                            ;978;;
1453;FFA TECHNICAL CENTRE                                        ;1420;;
1454;STADE ÉMILE MAYRISCH                                        ;989;;
1455;TRUDOVYE REZERVY                                            ;700;;
1456;XXI SETTEMBRE-FRANCO SALERNO                                ;2500;;
1457;CINO E LILLO DEL DUCA                                       ;4725;;
1458;PAQUITO JIMÉNEZ                                             ;2200;;
1459;DIMOTIKO STADIO KARLOVASOU                                  ;0;;
1460;DON VALLEY STADIUM                                          ;4324;;
1461;JANA SKREDELA STADIONS                                      ;1911;;
1462;"GIPEDO TAVROU ""SPYROS GIALABIDIS""                           ";850;;
1463;INDODRILL STADIUM                                           ;749;;
1464;STADION POZNAN                                              ;9150;;
1465;SPORTKOMPLEKS 747                                           ;800;;
1466;KLØVERMARKENS IDRÆTSANLÆG                                   ;0;;
1467;MUNICIPAL DE L’HOSPITALET                                   ;5500;;
1468;CAMP D'ESPORTS MOLLERUSSA                                   ;4000;;
1469;GARSCUBE SPORTS COMPLEX                                     ;0;;
1470;NEW DOUGLAS PARK                                            ;563;;
1471;MITAR MICO GOLIS                                            ;1403;;
1472;BUKOVYNA                                                    ;4900;;
1473;ELEKTROMETALURG                                             ;649;;
1474;POLSAT PLUS ARENA GDANSK                                    ;9500;;
1475;EL CARMEN                                                   ;0;;
1476;GALLAGHER STADIUM                                           ;3560;;
1477;ZIRINEIO STADIUM                                            ;0;;
1478;KAUNO ZALGIRIO FA STADIONAS                                 ;400;;
1479;KARL-HEITZ-STADION                                          ;10000;;
1480;ANNENKI                                                     ;800;;
1481;STADION METEOR                                              ;900;;
1482;JADESTADION (A-PLATZ)                                       ;7500;;
1483;WIRMACHENDRUCK ARENA                                        ;7000;;
1484;MEISTARAVELLIR                                              ;767;;
1485;KHIMIK VURNARY                                              ;630;;
1486;BOOTHAM CRESCENT                                            ;3222;;
1487;DR. CONSTANTIN RADULESCU                                    ;9852;;
1488;PARK MLADEZI                                                ;4000;;
1489;LINAREJOS                                                   ;8100;;
1490;OSTSEESTADION                                               ;7700;;
1491;TRAKTOR                                                     ;6900;;
1492;TUDOR VLADIMIRESCU (OLD)                                    ;4270;;
1493;GSZ STADIO                                                  ;4645;;
1494;COMPLEXO DESPORTIVO MONTE DA FORCA                          ;410;;
1495;NOU ESTADI COSTA DAURADA                                    ;8282;;
1496;MCS RUKH                                                    ;9860;;
1497;FFM TRAINING CENTRE                                         ;912;;
1498;HØDDVOLL STADION                                            ;2019;;
1499;MARCELLO TORRE                                              ;400;;
1500;KUKËS ARENA                                                 ;0;;
1501;KL KØLETEKNIK ARENA                                         ;0;;
1502;SÜDSTADION                                                  ;6712;;
1503;ZEM HIPÒLIT PLANÀS                                          ;3578;;
1504;A.LE COQ ARENA                                              ;2495;;
1505;SPORTPARK HET SCHENGE                                       ;300;;
1506;SPORTPARK DRIE BURG                                         ;400;;
1507;KELLAMERGH PARK                                             ;1213;;
1508;ESTADIO ROMÁN VALERO                                        ;2000;;
1509;STADE MOHAMED V                                             ;43891;;
1510;SPORTPARK ORDERBOS                                          ;2350;;
1511;ESTÁDIO DO MAR                                              ;932;;
1512;MOREROOM.COM STADIUM                                        ;680;;
1513;SANTA BÁRBARA                                               ;1800;;
1514;PLOUGH LANE                                                 ;4975;;
1515;ERMAK                                                       ;800;;
1516;ELAZIG ATATÜRK                                              ;9500;;
1517;PENICUIK PARK                                               ;341;;
1518;TORPEDO                                                     ;929;;
1519;SPORTPARK JULIANAPARK                                       ;700;;
1520;"STADIUMI ""QEMAL STAFA""                                      ";6000;;
1521;ALBERTO BRAGLIA                                             ;9950;;
1522;J. DAVIDSON STADIUM                                         ;2571;;
1523;SWISSPORARENA                                               ;9191;;
1524;STADE DE LUXEMBOURG                                         ;898;;
1525;GIPEDO AGRIAS                                               ;0;;
1526;STADION MIEJSKI W GLIWICACH                                 ;8534;;
1527;BUFFS PARK                                                  ;527;;
1528;ALBERT PARK                                                 ;0;;
1529;HAUGESUND SPAREBANK ARENA                                   ;5150;;
1530;MELITA FC COMPLEX                                           ;332;;
1531;ZENTRALSTADION MYKOLAIV                                     ;8907;;
1532;THE BET BUTLER STADIUM                                      ;0;;
1533;LØJT IDRÆTSANLÆG                                            ;0;;
1534;STADION KHIMIK                                              ;950;;
1535;MARIENLYST STADION                                          ;5330;;
1536;HÄCKER WIEHENSTADION                                        ;2236;;
1537;MERKATONDOA                                                 ;0;;
1538;SOUTHWOOD STADIUM                                           ;0;;
1539;OLIVEBANK STADIUM                                           ;0;;
1540;LA MOLINETA                                                 ;1000;;
